"geb_naam","Weeknummer","Percentage_met_COVIDachtige_klachten","Deelnemers_per_100000_inwoners","Aantal_meldingen_per_100000_inwoners"
"Amsterdam-Amstelland","42",0.125,0.84,0.75
"Amsterdam-Amstelland","43",0.085,13.64,9.9
"Amsterdam-Amstelland","44",0.079,37.92,23.63
"Amsterdam-Amstelland","45",0.07,53.8,37.55
"Amsterdam-Amstelland","46",0.058,69.12,45.21
"Amsterdam-Amstelland","47",0.061,71.83,43.15
"Amsterdam-Amstelland","48",0.03,72.02,9.43
"Brabant-Noord","42",NA,NA,0.3
"Brabant-Noord","43",0.073,23.37,16.58
"Brabant-Noord","44",0.141,63.47,40.7
"Brabant-Noord","45",0.066,88.95,64.07
"Brabant-Noord","46",0.065,106.13,75.98
"Brabant-Noord","47",0.057,109.15,76.28
"Brabant-Noord","48",0.028,109.75,16.13
"Brabant-Zuidoost","42",NA,NA,0.51
"Brabant-Zuidoost","43",0.11,23.7,18.7
"Brabant-Zuidoost","44",0.081,68.52,47.26
"Brabant-Zuidoost","45",0.087,94.65,70.83
"Brabant-Zuidoost","46",0.055,108.36,83.51
"Brabant-Zuidoost","47",0.052,112.58,84.15
"Brabant-Zuidoost","48",0.042,113.35,18.19
"Drenthe","42",NA,NA,0.81
"Drenthe","43",0.189,13.77,10.74
"Drenthe","44",0.09,43.15,27.14
"Drenthe","45",0.073,64.82,44.57
"Drenthe","46",0.056,84.47,54.69
"Drenthe","47",0.041,87.51,54.29
"Drenthe","48",0.094,NA,10.74
"Flevoland","42",NA,NA,0.95
"Flevoland","43",0.074,16.08,12.77
"Flevoland","44",0.076,45.87,31.21
"Flevoland","45",0.074,63.6,47.76
"Flevoland","46",0.065,78.25,58.4
"Flevoland","47",0.059,82.51,56.03
"Flevoland","48",0.093,83.22,12.77
"Fryslân","42",0,1.23,0.92
"Fryslân","43",0.045,14.46,10.15
"Fryslân","44",0.076,40.62,26.31
"Fryslân","45",0.068,56,38.31
"Fryslân","46",0.057,69.39,46.16
"Fryslân","47",0.052,71.7,44.31
"Fryslân","48",0.066,72.31,9.39
"Gelderland-Midden","42",NA,NA,0.43
"Gelderland-Midden","43",0.074,20.96,17.51
"Gelderland-Midden","44",0.073,51.82,35.31
"Gelderland-Midden","45",0.066,75.65,54.41
"Gelderland-Midden","46",0.075,93.16,65.46
"Gelderland-Midden","47",0.064,97.18,64.89
"Gelderland-Midden","48",0.097,98.05,14.79
"Gelderland-Zuid","42",0.125,1.42,1.42
"Gelderland-Zuid","43",0.115,19.4,13.89
"Gelderland-Zuid","44",0.098,56.08,38.27
"Gelderland-Zuid","45",0.081,78.15,54.65
"Gelderland-Zuid","46",0.043,92.93,66.58
"Gelderland-Zuid","47",0.035,95.95,66.4
"Gelderland-Zuid","48",0,96.13,17.62
"Gooi en Vechtstreek","43",0.081,15.17,14.39
"Gooi en Vechtstreek","44",0.109,55.62,39.28
"Gooi en Vechtstreek","45",0.084,74.29,50.95
"Gooi en Vechtstreek","46",0.047,95.68,66.9
"Gooi en Vechtstreek","47",0.042,101.13,64.18
"Gooi en Vechtstreek","48",0.062,NA,12.45
"Groningen","42",NA,NA,0.85
"Groningen","43",0.066,17.92,12.97
"Groningen","44",0.068,55.45,37.88
"Groningen","45",0.073,73.88,56.14
"Groningen","46",0.082,90.6,60.23
"Groningen","47",0.057,93.68,62.96
"Groningen","48",0.011,93.85,16.04
"Haaglanden","42",0.167,0.63,0.54
"Haaglanden","43",0.101,19.35,14.15
"Haaglanden","44",0.081,55.54,37.8
"Haaglanden","45",0.047,77.31,53.39
"Haaglanden","46",0.065,90.83,63.15
"Haaglanden","47",0.055,94.24,63.06
"Haaglanden","48",0.041,94.6,12.99
"Hollands-Midden","42",0.286,0.99,0.87
"Hollands-Midden","43",0.044,17.31,13.97
"Hollands-Midden","44",0.066,53.65,35.35
"Hollands-Midden","45",0.056,75.4,52.54
"Hollands-Midden","46",0.044,91.1,64.65
"Hollands-Midden","47",0.06,94.69,63.54
"Hollands-Midden","48",0.043,95.06,14.34
"IJsselland","42",NA,NA,0.94
"IJsselland","43",0.111,17.31,13.55
"IJsselland","44",0.059,51.57,38.02
"IJsselland","45",0.044,74.15,51.38
"IJsselland","46",0.069,91.28,65.49
"IJsselland","47",0.056,95.04,63.61
"IJsselland","48",0.06,95.23,15.62
"Kennemerland","42",0,1.09,1.09
"Kennemerland","43",0.147,17.09,13.64
"Kennemerland","44",0.086,51.09,35.82
"Kennemerland","45",0.08,76.72,50.18
"Kennemerland","46",0.067,93.81,64.9
"Kennemerland","47",0.038,97.08,61.63
"Kennemerland","48",0.038,98.18,14.36
"Limburg-Noord","42",NA,NA,0.38
"Limburg-Noord","43",0.143,14.42,10.77
