day_nr,Definition,Date,num_infect,ll_num_infect,ul_num_infect
01,Specific_covid,24/03/2020,0.24,0.145,0.334
02,Specific_covid,25/03/2020,0.241,0.144,0.337
03,Specific_covid,26/03/2020,0.231,0.134,0.327
04,Specific_covid,27/03/2020,0.229,0.132,0.325
05,Specific_covid,28/03/2020,0.201,0.122,0.28
06,Specific_covid,29/03/2020,0.198,0.011,0.384
07,Specific_covid,30/03/2020,0.211,0.025,0.398
08,Specific_covid,31/03/2020,0.243,0.056,0.429
09,Specific_covid,01/04/2020,0.241,0.146,0.336
10,Specific_covid,02/04/2020,0.232,0.137,0.327
11,Specific_covid,03/04/2020,0.198,0.103,0.293
12,Specific_covid,04/04/2020,0.162,0.086,0.239
13,Specific_covid,05/04/2020,0.154,0.008,0.3
14,Specific_covid,06/04/2020,0.129,0,0.275
15,Specific_covid,07/04/2020,0.119,0,0.265
16,Specific_covid,08/04/2020,0.097,0.004,0.19
17,Specific_covid,09/04/2020,0.093,0,0.186
18,Specific_covid,10/04/2020,0.089,0,0.182
19,Specific_covid,11/04/2020,0.077,0.007,0.147
20,Specific_covid,12/04/2020,0.129,0,0.302
21,Specific_covid,13/04/2020,0.123,0,0.296
22,Specific_covid,14/04/2020,0.128,0,0.301
23,Specific_covid,15/04/2020,0.087,0,0.18
24,Specific_covid,16/04/2020,0.091,0,0.184
25,Specific_covid,17/04/2020,0.092,0,0.186
26,Specific_covid,18/04/2020,0.081,0.007,0.155
27,Specific_covid,19/04/2020,0.088,0,0.272
28,Specific_covid,20/04/2020,0.082,0,0.266
29,Specific_covid,21/04/2020,0.086,0,0.271
30,Specific_covid,22/04/2020,0.071,0,0.176
31,Specific_covid,23/04/2020,0.058,0,0.164
32,Specific_covid,24/04/2020,0.044,0,0.15
33,Specific_covid,25/04/2020,0.038,0,0.117
34,Specific_covid,26/04/2020,0.047,0,0.222
35,Specific_covid,27/04/2020,0.058,0,0.233
36,Specific_covid,28/04/2020,0.058,0,0.232
37,Specific_covid,29/04/2020,0.043,0,0.154
38,Specific_covid,30/04/2020,0.055,0,0.165
39,Specific_covid,01/05/2020,0.052,0,0.163
40,Specific_covid,02/05/2020,0.05,0,0.136
41,Specific_covid,03/05/2020,0.032,0,0.219
42,Specific_covid,04/05/2020,0.036,0,0.223
43,Specific_covid,05/05/2020,0.036,0,0.223
44,Specific_covid,06/05/2020,0.032,0,0.144
45,Specific_covid,07/05/2020,0.031,0,0.143
46,Specific_covid,08/05/2020,0.041,0,0.153
47,Specific_covid,09/05/2020,0.048,0,0.132
48,Specific_covid,10/05/2020,0.048,0,0.259
49,Specific_covid,11/05/2020,0.041,0,0.253
50,Specific_covid,12/05/2020,0.038,0,0.25
51,Specific_covid,13/05/2020,0.039,0,0.152
52,Specific_covid,14/05/2020,0.041,0,0.154
53,Specific_covid,15/05/2020,0.035,0,0.148
54,Specific_covid,16/05/2020,0.031,0,0.119
55,Specific_covid,17/05/2020,0.019,0,0.224
56,Specific_covid,18/05/2020,0.016,0,0.222
57,Specific_covid,19/05/2020,0.02,0,0.225
58,Specific_covid,20/05/2020,0.036,0,0.119
59,Specific_covid,21/05/2020,0.036,0,0.113
60,Specific_covid,22/05/2020,0.028,0,0.105
61,Specific_covid,23/05/2020,0.029,0,0.087
62,Specific_covid,24/05/2020,0.032,0,0.13
63,Specific_covid,25/05/2020,0.033,0,0.131
64,Specific_covid,26/05/2020,0.024,0,0.122
65,Specific_covid,27/05/2020,0.026,0,0.102
66,Specific_covid,28/05/2020,0.031,0,0.107
67,Specific_covid,29/05/2020,0.027,0,0.102
68,Specific_covid,30/05/2020,0.018,0,0.077
69,Specific_covid,31/05/2020,0.03,0,0.122
70,Specific_covid,01/06/2020,0.033,0,0.134
71,Specific_covid,02/06/2020,0.038,0,0.185
72,Specific_covid,03/06/2020,0.029,0,0.63
73,Specific_covid,04/06/2020,0.035,0,0.636
