"","Gemeente","Leden_per_10000_inwoners","gem_code","Aantal"
"1","'s-Gravenhage",7.98,518,414
"2","'s-Hertogenbosch",13.36,796,204
"3","Aa en Hunze",16.13,1680,33
"4","Aalsmeer",5.99,358,19
"5","Aalten",4.9,197,12
"6","Achtkarspelen",8.21,59,18
"7","Alblasserdam",7.86,482,15
"8","Albrandswaard",12.27,613,31
"9","Alkmaar",12.09,361,125
"10","Almelo",8.93,141,65
"11","Almere",8.51,34,162
"12","Alphen-Chaam",12.62,1723,11
"13","Alphen aan den Rijn",8.81,484,96
"14","Altena",9.99,1959,48
"15","Ameland",22.47,60,1
"16","Amersfoort",13.3,307,207
"17","Amstelveen",8.92,362,80
"18","Amsterdam",6.52,363,561
"19","Apeldoorn",8.1,200,127
"20","Appingedam",4.27,3,5
"21","Arnhem",9.7,202,154
"22","Assen",9.94,106,67
"23","Asten",10.93,743,17
"24","Baarle-Nassau",3.53,744,2
"25","Baarn",11.71,308,29
"26","Barendrecht",12.53,489,61
"27","Barneveld",13.4,203,75
"28","Beek",10.04,888,16
"29","Beekdaelen",10.24,1954,36
"30","Beemster",12.03,370,11
"31","Beesel",6.66,889,9
"32","Berg en Dal",7.42,1945,20
"33","Bergeijk",5.95,1724,11
"34","Bergen (L.)",5.02,893,5
"35","Bergen (NH.)",7.11,373,20
"36","Bergen op Zoom",10.59,748,70
"37","Berkelland",5.67,1859,23
"38","Bernheze",11.37,1721,33
"39","Best",11.74,753,35
"40","Beuningen",7.69,209,18
"41","Beverwijk",8.74,375,36
"42","Bladel",8.33,1728,15
"43","Blaricum",6.6,376,7
"44","Bloemendaal",5.98,377,14
"45","Bodegraven-Reeuwijk",5.8,1901,20
"46","Boekel",11.29,755,10
"47","Borger-Odoorn",7.86,1681,12
"48","Borne",5.73,147,13
"49","Borsele",8.49,654,15
"50","Boxmeer",13.03,756,35
"51","Boxtel",10.41,757,32
"52","Breda",11.49,758,209
"53","Brielle",14.55,501,25
"54","Bronckhorst",8.4,1876,29
"55","Brummen",9.05,213,18
"56","Brunssum",9.17,899,19
"57","Bunnik",11.19,312,17
"58","Bunschoten",4.34,313,9
"59","Buren",9.86,214,21
"60","Capelle aan den IJssel",7.63,502,51
"61","Castricum",12.64,383,45
"62","Coevorden",7.8,109,22
"63","Cranendonck",19.08,1706,39
"64","Cuijk",10.88,1684,24
"65","Culemborg",10.89,216,31
"66","Dalfsen",7.51,148,18
"67","Dantumadiel",8.37,1891,12
"68","De Bilt",16.58,310,71
"69","De Fryske Marren",8.23,1940,30
"70","De Ronde Venen",8.85,736,39
"71","De Wolden",6.76,1690,15
"72","Delft",10.71,503,110
"73","Delfzijl",6.65,10,14
"74","Den Helder",6.74,400,37
"75","Deurne",6.86,762,19
"76","Deventer",9.67,150,95
"77","Diemen",10.96,384,32
"78","Dinkelland",6.26,1774,11
"79","Doesburg",7.3,221,8
"80","Doetinchem",6.6,222,37
"81","Dongen",9.76,766,25
"82","Dordrecht",7.72,505,91
"83","Drechterland",10.5,498,18
"84","Drimmelen",9.95,1719,27
"85","Dronten",7.6,303,31
"86","Druten",8.9,225,14
"87","Duiven",8.58,226,20
"88","Echt-Susteren",6.13,1711,18
"89","Edam-Volendam",4.16,385,10
"90","Ede",9.61,228,108
