Gemeente,gem_code,tot_inwoners,Aantal,Leden_per_10000_inwoners,weeknumber,tot_responders,tot_cases,perc_case
's-Gravenhage,518,537765,426,7.92,42,1,1,1
's-Gravenhage,518,537765,426,7.92,43,67,4,0.06
's-Gravenhage,518,537765,426,7.92,44,167,9,0.054
's-Gravenhage,518,537765,426,7.92,45,232,7,0.03
's-Gravenhage,518,537765,426,7.92,46,287,16,0.056
's-Gravenhage,518,537765,426,7.92,47,27,1,0.037
's-Hertogenbosch,796,154200,207,13.42,42,1,0,0
's-Hertogenbosch,796,154200,207,13.42,43,35,3,0.086
's-Hertogenbosch,796,154200,207,13.42,44,75,8,0.107
's-Hertogenbosch,796,154200,207,13.42,45,116,8,0.069
's-Hertogenbosch,796,154200,207,13.42,46,133,7,0.053
's-Hertogenbosch,796,154200,207,13.42,47,10,0,0
Aa en Hunze,1680,25390,34,13.39,43,1,1,1
Aa en Hunze,1680,25390,34,13.39,44,8,1,0.125
Aa en Hunze,1680,25390,34,13.39,45,21,2,0.095
Aa en Hunze,1680,25390,34,13.39,46,19,1,0.053
Aa en Hunze,1680,25390,34,13.39,47,2,0,0
Aalsmeer,358,31725,22,6.93,42,1,0,0
Aalsmeer,358,31725,22,6.93,43,5,0,0
Aalsmeer,358,31725,22,6.93,44,10,0,0
Aalsmeer,358,31725,22,6.93,45,9,1,0.111
Aalsmeer,358,31725,22,6.93,46,15,0,0
Aalsmeer,358,31725,22,6.93,47,2,0,0
Aalten,197,27010,13,4.81,43,3,0,0
Aalten,197,27010,13,4.81,44,7,1,0.143
Aalten,197,27010,13,4.81,45,9,0,0
Aalten,197,27010,13,4.81,46,10,0,0
Achtkarspelen,59,27860,18,6.46,42,2,0,0
Achtkarspelen,59,27860,18,6.46,43,3,1,0.333
Achtkarspelen,59,27860,18,6.46,44,7,0,0
Achtkarspelen,59,27860,18,6.46,45,14,2,0.143
Achtkarspelen,59,27860,18,6.46,46,15,0,0
Achtkarspelen,59,27860,18,6.46,47,1,0,0
Alblasserdam,482,20065,16,7.97,43,2,0,0
Alblasserdam,482,20065,16,7.97,44,6,1,0.167
Alblasserdam,482,20065,16,7.97,45,11,1,0.091
Alblasserdam,482,20065,16,7.97,46,12,0,0
Alblasserdam,482,20065,16,7.97,47,3,0,0
Albrandswaard,613,25270,32,12.66,43,3,1,0.333
Albrandswaard,613,25270,32,12.66,44,14,1,0.071
Albrandswaard,613,25270,32,12.66,45,19,2,0.105
Albrandswaard,613,25270,32,12.66,46,25,3,0.12
Albrandswaard,613,25270,32,12.66,47,2,0,0
Alkmaar,361,108545,126,11.61,42,2,0,0
Alkmaar,361,108545,126,11.61,43,17,2,0.118
Alkmaar,361,108545,126,11.61,44,43,2,0.047
Alkmaar,361,108545,126,11.61,45,80,7,0.088
Alkmaar,361,108545,126,11.61,46,90,8,0.089
Alkmaar,361,108545,126,11.61,47,7,0,0
Almelo,141,72850,67,9.2,43,11,2,0.182
Almelo,141,72850,67,9.2,44,26,4,0.154
Almelo,141,72850,67,9.2,45,41,3,0.073
Almelo,141,72850,67,9.2,46,40,5,0.125
Almelo,141,72850,67,9.2,47,5,0,0
Almere,34,207905,167,8.03,42,3,0,0
Almere,34,207905,167,8.03,43,19,1,0.053
Almere,34,207905,167,8.03,44,65,5,0.077
Almere,34,207905,167,8.03,45,107,11,0.103
Almere,34,207905,167,8.03,46,128,9,0.07
Almere,34,207905,167,8.03,47,3,0,0
Alphen-Chaam,1723,10140,12,11.83,44,4,0,0
Alphen-Chaam,1723,10140,12,11.83,45,5,0,0
Alphen-Chaam,1723,10140,12,11.83,46,9,1,0.111
Alphen-Chaam,1723,10140,12,11.83,47,1,0,0
Alphen aan den Rijn,484,110990,98,8.83,42,1,0,0
Alphen aan den Rijn,484,110990,98,8.83,43,19,1,0.053
Alphen aan den Rijn,484,110990,98,8.83,44,32,2,0.062
Alphen aan den Rijn,484,110990,98,8.83,45,54,2,0.037
Alphen aan den Rijn,484,110990,98,8.83,46,75,3,0.04
Alphen aan den Rijn,484,110990,98,8.83,47,2,0,0
Altena,1959,55385,49,8.85,43,8,0,0
Altena,1959,55385,49,8.85,44,19,0,0
Altena,1959,55385,49,8.85,45,25,4,0.16
Altena,1959,55385,49,8.85,46,36,2,0.056
Altena,1959,55385,49,8.85,47,2,0,0
Ameland,60,3675,1,2.72,46,1,0,0
Amersfoort,307,156285,216,13.82,42,1,0,0
Amersfoort,307,156285,216,13.82,43,22,2,0.091
Amersfoort,307,156285,216,13.82,44,69,7,0.101
Amersfoort,307,156285,216,13.82,45,113,12,0.106
Amersfoort,307,156285,216,13.82,46,137,10,0.073
Amersfoort,307,156285,216,13.82,47,14,3,0.214
Amstelveen,362,90845,87,9.58,42,2,1,0.5
Amstelveen,362,90845,87,9.58,43,9,1,0.111
Amstelveen,362,90845,87,9.58,44,30,3,0.1
Amstelveen,362,90845,87,9.58,45,53,4,0.075
Amstelveen,362,90845,87,9.58,46,59,2,0.034
Amstelveen,362,90845,87,9.58,47,4,1,0.25
Amsterdam,363,862665,583,6.76,42,5,0,0
Amsterdam,363,862665,583,6.76,43,83,8,0.096
Amsterdam,363,862665,583,6.76,44,195,13,0.067
Amsterdam,363,862665,583,6.76,45,312,20,0.064
Amsterdam,363,862665,583,6.76,46,368,24,0.065
Amsterdam,363,862665,583,6.76,47,34,3,0.088
Apeldoorn,200,162450,134,8.25,42,1,0,0
Apeldoorn,200,162450,134,8.25,43,16,1,0.062
Apeldoorn,200,162450,134,8.25,44,52,7,0.135
Apeldoorn,200,162450,134,8.25,45,79,5,0.063
Apeldoorn,200,162450,134,8.25,46,93,5,0.054
Apeldoorn,200,162450,134,8.25,47,8,1,0.125
Appingedam,3,11715,5,4.27,42,1,0,0
Appingedam,3,11715,5,4.27,44,3,0,0
Appingedam,3,11715,5,4.27,45,4,0,0
Appingedam,3,11715,5,4.27,46,4,0,0
Arnhem,202,159265,156,9.79,42,1,0,0
Arnhem,202,159265,156,9.79,43,31,1,0.032
Arnhem,202,159265,156,9.79,44,59,4,0.068
Arnhem,202,159265,156,9.79,45,88,6,0.068
Arnhem,202,159265,156,9.79,46,109,9,0.083
Arnhem,202,159265,156,9.79,47,9,0,0
Assen,106,67965,68,10.01,42,1,1,1
Assen,106,67965,68,10.01,43,7,2,0.286
Assen,106,67965,68,10.01,44,24,2,0.083
Assen,106,67965,68,10.01,45,34,2,0.059
Assen,106,67965,68,10.01,46,44,2,0.045
Assen,106,67965,68,10.01,47,3,0,0
Asten,743,16705,18,10.78,44,9,1,0.111
Asten,743,16705,18,10.78,45,11,0,0
Asten,743,16705,18,10.78,46,11,1,0.091
Asten,743,16705,18,10.78,47,1,0,0
Baarle-Nassau,744,6850,2,2.92,44,1,0,0
Baarle-Nassau,744,6850,2,2.92,45,1,0,0
Baarle-Nassau,744,6850,2,2.92,46,1,0,0
Baarn,308,24765,33,13.33,43,3,0,0
Baarn,308,24765,33,13.33,44,17,0,0
Baarn,308,24765,33,13.33,45,20,1,0.05
Baarn,308,24765,33,13.33,46,26,2,0.077
Baarn,308,24765,33,13.33,47,3,0,0
Barendrecht,489,48675,63,12.94,42,1,0,0
Barendrecht,489,48675,63,12.94,43,10,1,0.1
Barendrecht,489,48675,63,12.94,44,26,2,0.077
Barendrecht,489,48675,63,12.94,45,37,3,0.081
Barendrecht,489,48675,63,12.94,46,51,5,0.098
Barendrecht,489,48675,63,12.94,47,3,0,0
Barneveld,203,57970,76,13.11,43,18,4,0.222
Barneveld,203,57970,76,13.11,44,32,2,0.062
Barneveld,203,57970,76,13.11,45,46,2,0.043
Barneveld,203,57970,76,13.11,46,50,3,0.06
Barneveld,203,57970,76,13.11,47,3,0,0
Beek,888,15930,16,10.04,42,1,0,0
Beek,888,15930,16,10.04,44,4,0,0
Beek,888,15930,16,10.04,45,11,1,0.091
Beek,888,15930,16,10.04,46,12,0,0
Beek,888,15930,16,10.04,47,1,0,0
Beekdaelen,1954,35730,36,10.08,43,5,1,0.2
Beekdaelen,1954,35730,36,10.08,44,15,0,0
Beekdaelen,1954,35730,36,10.08,45,21,0,0
Beekdaelen,1954,35730,36,10.08,46,28,2,0.071
Beekdaelen,1954,35730,36,10.08,47,4,1,0.25
Beemster,370,9745,11,11.29,43,1,0,0
Beemster,370,9745,11,11.29,44,4,0,0
Beemster,370,9745,11,11.29,45,6,0,0
Beemster,370,9745,11,11.29,46,10,0,0
Beemster,370,9745,11,11.29,47,1,0,0
Beesel,889,13520,9,6.66,44,3,0,0
Beesel,889,13520,9,6.66,45,3,0,0
Beesel,889,13520,9,6.66,46,4,0,0
Berg en Dal,1945,34800,22,6.32,43,5,0,0
Berg en Dal,1945,34800,22,6.32,44,7,0,0
Berg en Dal,1945,34800,22,6.32,45,10,0,0
Berg en Dal,1945,34800,22,6.32,46,13,1,0.077
Berg en Dal,1945,34800,22,6.32,47,3,0,0
Bergeijk,1724,18485,12,6.49,43,1,0,0
Bergeijk,1724,18485,12,6.49,44,2,1,0.5
Bergeijk,1724,18485,12,6.49,45,6,1,0.167
Bergeijk,1724,18485,12,6.49,46,10,0,0
Bergeijk,1724,18485,12,6.49,47,2,0,0
Bergen (L.),893,13145,5,3.8,43,2,0,0
Bergen (L.),893,13145,5,3.8,44,2,0,0
Bergen (L.),893,13145,5,3.8,45,3,0,0
Bergen (L.),893,13145,5,3.8,46,3,0,0
Bergen (NH.),373,29980,22,7.34,42,1,0,0
Bergen (NH.),373,29980,22,7.34,43,2,0,0
Bergen (NH.),373,29980,22,7.34,44,5,0,0
Bergen (NH.),373,29980,22,7.34,45,12,1,0.083
Bergen (NH.),373,29980,22,7.34,46,11,1,0.091
Bergen (NH.),373,29980,22,7.34,47,3,0,0
Bergen op Zoom,748,66800,74,11.08,43,11,0,0
Bergen op Zoom,748,66800,74,11.08,44,24,1,0.042
Bergen op Zoom,748,66800,74,11.08,45,43,1,0.023
Bergen op Zoom,748,66800,74,11.08,46,50,2,0.04
Bergen op Zoom,748,66800,74,11.08,47,5,1,0.2
Berkelland,1859,43905,24,5.47,43,5,2,0.4
Berkelland,1859,43905,24,5.47,44,6,0,0
Berkelland,1859,43905,24,5.47,45,11,0,0
Berkelland,1859,43905,24,5.47,46,16,0,0
Berkelland,1859,43905,24,5.47,47,2,0,0
Bernheze,1721,30750,34,11.06,42,1,0,0
Bernheze,1721,30750,34,11.06,43,6,0,0
Bernheze,1721,30750,34,11.06,44,12,0,0
Bernheze,1721,30750,34,11.06,45,21,1,0.048
Bernheze,1721,30750,34,11.06,46,23,1,0.043
Bernheze,1721,30750,34,11.06,47,1,0,0
Best,753,29820,35,11.74,43,4,0,0
Best,753,29820,35,11.74,44,17,2,0.118
Best,753,29820,35,11.74,45,24,0,0
Best,753,29820,35,11.74,46,26,1,0.038
Best,753,29820,35,11.74,47,1,0,0
Beuningen,209,25880,18,6.96,42,1,0,0
Beuningen,209,25880,18,6.96,44,8,1,0.125
